🇨🇳中国港澳👉,#genre#
随机电影,http://aiyun.work.gd/sjdy.php
凤凰中文频道,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文频道,http://183.204.13.237/cee7354084e908e7d71a99f88ecd0c61.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文频道,http://mywlkj.ddns.net:754/tv/fhzw.m3u8 
凤凰中文频道,http://mywlkj.ddns.net:754/tv/hk.php?id=26
凤凰中文频道,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
凤凰中文频道,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8
凤凰中文频道,http://180.142.145.135:8181/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文频道,http://mxwz.fun/gy/gy_muosL/fh_4gt.php?id=fhzw
凤凰中文ipv6,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/index.m3u8
凤凰中文ipv6,http://[2409:8087:7000:20::16]/wh7f454c46tw3934030395_900687363/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8
凤凰中文频道,http://182.138.136.195:4455/rtp/239.93.0.162:2192?Cf=cfss.cc
凤凰中文频道,http://182.138.136.195:4455/rtp/239.93.1.9:2192?Cf=cfss.cc
凤凰中文频道,http://171.88.35.80:4000/udp/239.93.0.162:2192
凤凰中文频道,http://171.88.35.80:4000/udp/239.93.1.9:2192
凤凰中文频道,http://117.30.115.27:8888/rtp/239.61.2.184:9092
凤凰中文频道,http://59.51.113.8:18888/rtp/239.76.253.135:9000?Cf=cfss.cc

凤凰资讯频道,http://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯频道,http://183.204.13.237/cee7354084e908e7d71a99f88ecd0c61.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯频道,http://mywlkj.ddns.net:754/tv/fhzx.m3u8
凤凰资讯频道,http://mywlkj.ddns.net:754/tv/hk.php?id=27
凤凰资讯频道,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
凤凰资讯频道,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
凤凰资讯频道,http://mxwz.fun/gy/gy_muosL/fh_4gt.php?id=fhzx
凤凰资讯ipv6,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
凤凰资讯ipv6,http://[2409:8087:7000:20::17]/wh7f454c46tw3848616474_-2066516487/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
凤凰资讯频道,http://182.138.136.195:4455/rtp/239.93.0.118:2191?Cf=cfss.cc
凤凰资讯频道,http://182.138.136.195:4455/rtp/239.93.1.4:2191?Cf=cfss.cc
凤凰资讯频道,http://117.30.115.27:8888/rtp/239.61.2.183:9086
凤凰资讯频道,http://171.88.35.80:4000/udp/239.93.0.118:2191
凤凰资讯频道,http://171.88.35.80:4000/udp/239.93.1.4:2191
凤凰资讯频道,http://59.51.113.8:18888/rtp/239.76.246.135:1234?Cf=cfss.cc
香港凤凰频道,http://183.204.13.13/cee7354084e908e7d71a99f88ecd0c61.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
文旅香港频道,http://ali-play.lezhibo.com/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
