央视直播,#genre#
CCTV1高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv1
CCTV2,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv2
CCTV3,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv3
CCTV4,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv4
CCTV5高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv5
CCTV5+高清,http://zy.otioi.cn/live/live.php?token=zy-2969297279&id=cctv5p
CCTV6,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv6
CCTV7,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv7
CCTV8,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv8
CCTV9,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv9
CCTV10,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv10
CCTV11,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv11
CCTV12,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv12
CCTV13,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv13
CCTV14,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv14
CCTV15,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv15
卫视直播,#genre#
浙江卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=zjws
东方卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=dfws
辽宁卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=llws
北京卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=bjws
贵州卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=gzws
重庆卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cqws
云南卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=ynwx
旅游卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=lyws
安徽卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=ahws
优漫卡通,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=ymkt
江西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jxws
吉林卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jlws
四海钓鱼,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=shdy
天津卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=tjws
卡酷动画,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=kkdh
广西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=gxws
四川卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=scws
湖北卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hbws
陕西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=sxws
江苏卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jsws
东南卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=dnws
黑龙江卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hljws
广东卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=gdws
山东卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=sdwd
湖南经视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnjs
湖南公共,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hngg
湖南卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnws
金鹰卡通,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jykt
金鹰纪实,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jyjs
先锋乒羽,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=xfpy
湖南娱乐,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnyl
湖南都市,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnds
湖南电视剧,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hndsj
快乐垂钓,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=klcd
河南卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=henws
央视频道,#genre#
CCTV1综合,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv1
CCTV2财经,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv2
CCTV3综艺,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv3
CCTV4中文国际,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv4
CCTV5体育,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv5
CCTV5+体育赛事,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv5p
CCTV6电影,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv6
CCTV7国防军事,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv7
CCTV8电视剧,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv8
CCTV9纪录,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv9
CCTV10科教,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv10
CCTV11戏曲,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv11
CCTV12社会与法,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv12
CCTV13新闻,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv13
CCTV14少儿,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv14
CCTV15音乐,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv15
CCTV16奥林匹克,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv16
CCTV17农业农村,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cctv17
CCTV兵器科技,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=bqkj
CCTV第一剧场,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=dyjc
CCTV怀旧剧场,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=hjjc
CCTV风云剧场,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=fyjc
CCTV风云音乐,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=fyyy
CCTV风云足球,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=fyzq
CCTV央视文化精品,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=whjp
CCTV女性时尚,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=nxss
CCTV高尔夫网球,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=gefwq
CCTV央视台球,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=ystq
CCTV央广购物,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=yggw
CCTV中视购物,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=zsgw
种养新影-中学生,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=zxs
种养新影-发现之旅,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=fxzl
种养新影-老故事,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=lgs
书画,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=sh
中国天气,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=zgtq
CGTN,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cgtn
中国教育,#genre#
CETV1中教1台,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cetv1
CETV4中教4台,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=cetv4
CETV早期教育,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=zqjy
CHC系列,#genre#
CHC高清电影,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=chcgq
CHC动作电影,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=chcdz
CHC家庭影院,http://zy.otioi.cn/live/cqyx.php?token=0VkiaCZthP&id=chcjt

国际频道,#genre#
CGTN Documentary,https://livedoc.cgtn.com/500d/prog_index.m3u8?zshijd
CGTN Documentary,https://livedoc.cgtn.com/1000d/prog_index.m3u8
CGTN-英语,http://live.cgtn.com/1000/prog_index.m3u8?zshijd
CGTN-英语,http://live.cgtn.com/500/prog_index.m3u8?zshijd
CGTN-拉美,http://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CGTN-Français(法语),http://livefr.cgtn.com/1000f/prog_index.m3u8
